Občina,Km2,Prebivalci,Preb/km2,Naselja,Leto,Pokrajina,Statistična regija,Odcepitev od občine
Ajdovščina,"245,2",19418,79,45,1994,Primorska,Goriška,Ajdovščina
Ankaran,"8,0",3224,403,1,2011,Primorska,Obalno-kraška,Koper
Apače,"53,5",3533,66,21,2006,Štajerska,Pomurska,Gornja Radgona
Beltinci,"62,2",8059,130,8,1994,Prekmurje,Pomurska,Murska Sobota
Benedikt,"24,1",2615,108,14,1998,Štajerska,Podravska,Lenart
Bistrica ob Sotli,"31,1",1336,43,11,1998,Štajerska,Savinjska,Podčetrtek
Bled,"72,3",7868,109,10,1994,Gorenjska,Gorenjska,Radovljica
Bloke,"75,1",1563,21,45,1998,Notranjska,Primorsko-notranjska,Loška dolina
Bohinj,"333,7",5145,15,24,1994,Gorenjska,Gorenjska,Radovljica
Borovnica,"42,3",4579,108,12,1994,Notranjska,Osrednjeslovenska,Vrhnika
Bovec,"367,3",3073,8,14,1994,Primorska,Goriška,Tolmin
Braslovče,"54,8",5629,103,22,1998,Štajerska,Savinjska,Žalec
Brda,72,5619,78,45,1994,Primorska,Goriška,Nova Gorica
Brezovica,"91,1",12671,139,16,1994,Notranjska,Osrednjeslovenska,Ljubljana Vič - Rudnik
Brežice,"268,1",24051,90,109,1994,Štajerska,Spodnjeposavska,Brežice
Cankova,"30,6",1734,57,8,1998,Prekmurje,Pomurska,Cankova - Tišina
Celje,"94,9",49540,522,39,1994,Štajerska,Savinjska,Celje
Cerklje na Gorenjskem,78,7769,100,30,1994,Gorenjska,Gorenjska,Kranj
Cerknica,"241,3",11580,48,64,1994,Notranjska,Primorsko-notranjska,Cerknica
Cerkno,"131,6",4547,35,30,1994,Primorska,Goriška,Idrija
Cerkvenjak,23,2083,91,15,1998,Štajerska,Podravska,Lenart
Cirkulane,"32,1",2345,73,13,2006,Štajerska,Podravska,Gorišnica
Črenšovci,"33,6",3968,118,6,1994,Prekmurje,Pomurska,Lendava
Črna na Koroškem,"155,9",3285,21,9,1994,Koroška,Koroška,Ravne na Koroškem
Črnomelj,"339,7",14241,42,118,1994,Dolenjska,Jugovzhodna,Črnomelj
Destrnik,"34,3",2643,77,17,1994,Štajerska,Podravska,Ptuj
Divača,"147,7",4213,29,31,1994,Primorska,Obalno-kraška,Sežana
Dobje,"17,4",949,55,13,1998,Štajerska,Savinjska,Šentjur
Dobrepolje,"103,1",3878,38,24,1994,Dolenjska,Osrednjeslovenska,Grosuplje
Dobrna,"31,6",2234,71,11,1998,Štajerska,Savinjska,Vojnik
Dobrova - Polhov Gradec,"117,5",7800,66,33,1994,Gorenjska,Osrednjeslovenska,Ljubljana Vič - Rudnik
Dobrovnik,"31,1",1281,41,3,1998,Prekmurje,Pomurska,Lendava
Dol pri Ljubljani,"33,2",6310,190,19,1994,Gorenjska,Osrednjeslovenska,"LJ Bežigrad, LJ Moste - Polje"
Dolenjske Toplice,"110,2",3553,32,29,1998,Dolenjska,Jugovzhodna,Novo mesto
Domžale,"72,2",36675,508,51,1994,Gorenjska,Osrednjeslovenska,Domžale
Dornava,"28,4",2902,102,12,1994,Štajerska,Podravska,Ptuj
Dravograd,105,8884,85,24,1994,Koroška,Koroška,Dravograd
Duplek,40,6996,175,10,1994,Štajerska,Podravska,Maribor
Gorenja vas - Poljane,"153,2",7557,49,73,1994,Gorenjska,Gorenjska,Škofja Loka
Gorišnica,29,4112,65,11,1994,Štajerska,Podravska,Ptuj
Gorje,"119,3",2738,23,12,2006,Gorenjska,Gorenjska,Bled
Gornja Radgona,"74,6",8417,113,30,1994,Štajerska,Pomurska,Gornja Radgona
Gornji Grad,"90,1",2474,27,7,1994,Štajerska,Savinjska,Mozirje
Gornji Petrovci,"66,8",1995,30,14,1994,Prekmurje,Pomurska,Murska Sobota
Grad,"37,4",2042,55,7,1998,Prekmurje,Pomurska,Kuzma
Grosuplje,"133,7",21314,159,66,1994,Dolenjska,Osrednjeslovenska,Grosuplje
Hajdina,"21,6",3879,180,7,1998,Štajerska,Podravska,Ptuj
Hoče - Slivnica,"53,7",11753,219,13,1998,Štajerska,Podravska,Maribor
Hodoš,"18,1",353,19,2,1998,Prekmurje,Pomurska,Hodoš - Šalovci
Horjul,"32,5",3024,93,9,1998,Notranjska,Osrednjeslovenska,Dobrova - Polhov Gradec
Hrastnik,"58,5",9113,156,19,1994,Štajerska,Zasavska,Hrastnik
Hrpelje - Kozina,"192,2",4604,24,38,1994,Primorska,Obalno-kraška,Sežana
Idrija,"293,6",11811,40,36,1994,Primorska,Goriška,Idrija
Ig,"98,7",7617,77,24,1994,Notranjska,Osrednjeslovenska,Ljubljana Vič - Rudnik
Ilirska Bistrica,480,13297,28,63,1994,Notranjska,Primorsko-notranjska,Ilirska Bistrica
Ivančna Gorica,227,17008,75,137,1994,Dolenjska,Osrednjeslovenska,Grosuplje
Izola,"28,5",16487,578,9,1994,Primorska,Obalno-kraška,Izola
Jesenice,"75,8",21340,282,13,1994,Gorenjska,Gorenjska,Jesenice
Jezersko,"68,8",625,9,2,1998,Gorenjska,Gorenjska,Preddvor
Juršinci,"36,2",2380,66,13,1994,Štajerska,Podravska,Ptuj
Kamnik,"265,6",29925,113,102,1994,Gorenjska,Osrednjeslovenska,Kamnik
Kanal ob Soči,"146,5",5291,36,35,1994,Primorska,Goriška,Nova Gorica
Kidričevo,"71,5",6619,93,18,1994,Štajerska,Podravska,Ptuj
Kobarid,"192,7",4208,22,33,1994,Primorska,Goriška,Tolmin
Kobilje,"19,7",612,31,1,1994,Prekmurje,Pomurska,Lendava
Kočevje,"563,7",16627,29,68,1994,Dolenjska,Osrednjeslovenska,—
Komen,"102,7",3489,34,35,1994,Primorska,Obalno-kraška,Sežana
Komenda,"24,1",5082,211,14,1998,Gorenjska,Osrednjeslovenska,Kamnik
Koper,311,52630,162,104,1994,Primorska,Obalno-kraška,—
Kostanjevica na Krki,"62,3",2413,39,28,2006,Dolenjska,Spodnjeposavska,Krško
Kostel,"56,7",647,11,52,1998,Dolenjska,Jugovzhodna,Kočevje
Kozje,"89,7",3245,38,23,1994,Štajerska,Savinjska,Šmarje pri Jelšah
Kranj,"150,9",54188,359,49,1994,Gorenjska,Gorenjska,—
Kranjska Gora,"256,3",5309,21,10,1994,Gorenjska,Gorenjska,Jesenice
Križevci,"46,2",3750,81,16,1998,Štajerska,Pomurska,Ljutomer
Krško,"286,5",25600,89,157,1994,Dolenjska,Spodnjeposavska,—
Kungota,49,4713,96,19,1994,Štajerska,Podravska,Pesnica
Kuzma,"22,9",1571,69,5,1994,Prekmurje,Pomurska,Murska Sobota
Laško,"197,5",13701,69,85,1994,Štajerska,Savinjska,—
Lenart,62,7862,127,22,1994,Štajerska,Podravska,—
Lendava,123,11157,91,23,1994,Prekmurje,Pomurska,—
Litija,221,14529,66,108,1994,Gorenjska,Osrednjeslovenska,—
Ljubljana,275,276091,1004,38,1994,"Dolenj, Gorenjska",Osrednjeslovenska,"LJ Bežigrad, Center, Moste - Polje, Šiška, Vič - Rudnik"
Ljubno,"78,9",2644,34,9,1994,Štajerska,Savinjska,Mozirje
Ljutomer,"107,2",11845,110,44,1994,Štajerska,Pomurska,—
Log - Dragomer,11,3538,322,3,2006,Notranjska,Osrednjeslovenska,"Brezovica, Vrhnika (samost 1907-52)"
Logatec,"173,1",12757,74,19,1994,Notranjska,Osrednjeslovenska,—
Loška dolina,"166,8",3809,23,21,1994,Notranjska,Primorsko-notranjska,Cerknica
Loški Potok,"134,5",1954,15,17,1994,Dolenjska,Jugovzhodna,Ribnica
Lovrenc na Pohorju,"84,4",3120,37,7,1998,Štajerska,Podravska,"Maribor Ruše ('94), Ruše ('98)"
Luče,"109,5",1535,14,7,1994,Štajerska,Savinjska,Mozirje
Lukovica,"74,9",5365,72,66,1994,Gorenjska,Osrednjeslovenska,Domžale
Majšperk,"72,8",4045,56,26,1994,Štajerska,Podravska,Ptuj
Makole,"36,9",2089,57,13,2006,Štajerska,Podravska,Slovenska Bistrica
Maribor,"147,5",113113,767,33,1994,Štajerska,Podravska,—
Markovci,"29,8",3973,133,9,1998,Štajerska,Podravska,Ptuj
Medvode,"77,6",15068,194,32,1994,Gorenjska,Osrednjeslovenska,"LJ Šiška, Vič - Rudnik"
Mengeš,"22,5",7307,325,4,1994,Gorenjska,Osrednjeslovenska,Domžale
Metlika,"108,9",8379,77,60,1994,Dolenjska,Jugovzhodna,-
Mežica,"26,4",3704,140,6,1994,Koroška,Koroška,Ravne na Koroškem
Miklavž na Dravskem polju,"12,5",6240,499,4,1998,Štajerska,Podravska,Maribor
Miren - Kostanjevica,"62,8",4843,77,16,1994,Primorska,Goriška,Nova Gorica
Mirna,"31,3",2573,75,22,2011,Dolenjska,Jugovzhodna,Trebnje
Mirna Peč,48,2779,58,28,1998,Dolenjska,Jugovzhodna,Novo mesto
Mislinja,"112,2",4703,42,11,1994,Koroška,Koroška,Slovenj Gradec
Mokronog - Trebelno,71,2892,41,43,2006,Dolenjska,Jugovzhodna,Trebnje
Moravče,"61,4",4832,79,50,1994,Gorenjska,Osrednjeslovenska,Domžale
Moravske Toplice,"144,5",6014,42,28,1994,Prekmurje,Pomurska,Murska Sobota
Mozirje,54,4063,75,8,1994,Štajerska,Savinjska,—
Murska Sobota,"64,4",19433,302,12,1994,Prekmurje,Pomurska,—
Muta,"38,8",3528,91,6,1994,Koroška,Koroška,Radlje ob Dravi
Naklo,"28,3",5164,182,13,1994,Gorenjska,Gorenjska,Kranj
Nazarje,"42,3",2567,61,15,1994,Štajerska,Savinjska,Mozirje
Nova Gorica,280,31911,114,43,-,Primorska,Goriška,-
Novo mesto,236,35570,151,99,-,Dolenjska,Jugovzhodna,-
Odranci,"6,9",1674,243,1,1994,Prekmurje,Pomurska,Lendava
Oplotnica,"33,2",3918,118,21,1998,Štajerska,Podravska,Slovenska Bistrica
Ormož,142,12519,89,60,-,Štajerska,Podravska,-
Osilnica,"36,2",404,11,19,1994,Dolenjska,Jugovzhodna,Kočevje (nekoč že samostojna občina)
Pesnica,"75,8",7549,100,30,-,Štajerska,Podravska,-
Piran,"44,6",17338,389,11,-,Primorska,Obalno-kraška,-
Pivka,"223,6",5966,27,11,1994,Primorska,Obalno-kraška,Postojna
Podčetrtek,"60,6",3276,54,26,1994,Štajerska,Savinjska,Šmarje pri Jelšah
Podlehnik,46,1892,41,13,1998,Štajerska,Podravska,Ptuj
Podvelka,"103,9",2604,25,9,1994,Štajerska,Koroška,Radlje ob Dravi
Poljčane,"37,5",4525,120,18,2006,Štajerska,Podravska,Slovenska Bistrica
Polzela,34,5872,173,9,1998,Štajerska,Savinjska,Žalec
Postojna,"269,9",15455,57,40,-,"Primorska, Notr",Primorsko-notranjska,-
Prebold,"40,9",4599,112,8,1998,Štajerska,Savinjska,Žalec
Preddvor,87,3477,40,14,1994,Gorenjska,Gorenjska,Kranj
Prevalje,"58,1",6741,116,12,1998,Koroška,Koroška,Ravne - Prevalje
Ptuj,"66,7",23699,355,10,-,Štajerska,Podravska,-
Puconci,"107,6",6128,57,23,1994,Prekmurje,Pomurska,Murska Sobota
Rače - Fram,"51,2",6528,127,13,1994,Štajerska,Podravska,Maribor
Radeče,52,4522,87,23,1994,Primorska,Obalno-kraška,Laško
Radenci,"34,1",5196,152,22,1994,Štajerska,Pomurska,Gornja Radgona
Radlje ob Dravi,"93,9",6162,66,14,-,Štajerska,Koroška,-
Radovljica,"118,7",18698,158,52,-,Gorenjska,Gorenjska,-
Ravne na Koroškem,"63,4",11722,185,16,-,Koroška,Koroška,-
Razkrižje,"9,8",1344,137,6,1998,Štajerska,Pomurska,Ljutomer
Rečica ob Savinji,"30,1",2287,76,12,2006,Štajerska,Savinjska,Mozirje
Renče - Vogrsko,30,4229,141,6,2006,Primorska,Goriška,Nova Gorica
Ribnica,"153,6",9305,61,63,-,Dolenjska,Jugovzhodna,-
Ribnica na Pohorju,"59,3",1228,20,6,1998,Štajerska,Koroška,Podvelka - Ribnica
Rogaška Slatina,"71,5",11093,155,41,1994,Štajerska,Savinjska,Šmarje pri Jelšah
Rogašovci,"40,1",3240,81,11,1994,Prekmurje,Pomurska,Murska Sobota
Rogatec,"39,6",3155,80,9,1994,Štajerska,Savinjska,Šmarje pri Jelšah
Ruše,"60,8",7417,122,7,-,Štajerska,Podravska,-
Selnica ob Dravi,"64,5",4563,71,14,1998,Štajerska,Podravska,Ruše
Semič,"146,7",3789,26,46,1994,Dolenjska,Jugovzhodna,Črnomelj
Sevnica,"272,2",17649,65,114,-,"Dolenjska, Štaj",Spodnjeposavska,-
Sežana,"217,4",12682,58,64,-,Primorska,Obalno-kraška,-
Slovenj Gradec,"173,7",16662,96,22,-,Koroška,Koroška,-
Slovenska Bistrica,260,24462,94,77,-,Štajerska,Podravska,-
Slovenske Konjice,"97,8",14346,147,58,-,Štajerska,Savinjska,-
Sodražica,"49,5",2148,43,22,1998,Dolenjska,Jugovzhodna,Ribnica
Solčava,"102,8",505,5,4,1998,Štajerska,Savinjska,"Mozirje ('94), Luče ('98)"
Središče ob Dravi,33,2142,65,5,2006,Štajerska,Podravska,Ormož
Starše,34,4093,120,8,1994,Štajerska,Podravska,Maribor
Straža,"28,5",3861,135,11,2006,Dolenjska,Jugovzhodna,Novo mesto
Sveta Ana,"37,2",2368,64,11,1998,Štajerska,Podravska,Lenart
Sveta Trojica v Slovenskih goricah,26,2197,84,8,1998,Štajerska,Podravska,Lenart
Sveti Andraž v Slovenskih goricah,"17,6",1207,69,7,1998,Štajerska,Podravska,"Ptuj ('94), Destrnik - Trnovska vas ('98)"
Sveti Jurij ob Ščavnici,"51,3",2869,56,27,1994,Štajerska,Pomurska,Gornja Radgona
Sveti Jurij v Slovenskih goricah,31,2114,68,8,2006,Štajerska,Podravska,Lenart
Sveti Tomaž,38,2073,55,17,2006,Štajerska,Podravska,Ormož
Šalovci,"58,2",1602,28,6,1994,Prekmurje,Pomurska,Murska Sobota
Šempeter - Vrtojba,15,6339,423,2,1998,Primorska,Goriška,Nova Gorica
Šenčur,40,8250,206,12,1994,Gorenjska,Gorenjska,Kranj
Šentilj,65,8426,130,22,1994,Štajerska,Podravska,Pesnica
Šentjernej,96,6694,70,58,1994,Dolenjska,Jugovzhodna,Novo mesto
Šentjur,"222,3",18787,85,108,-,Štajerska,Savinjska,-
Šentrupert,49,2807,57,25,2006,Dolenjska,Jugovzhodna,Trebnje
Škocjan,"60,4",3177,53,39,1994,Dolenjska,Jugovzhodna,Novo mesto
Škofja Loka,145,22667,156,62,-,Gorenjska,Gorenjska,-
Škofljica,"43,3",8413,194,19,1994,Dolenjska,Osrednjeslovenska,LJ Vič - Rudnik
Šmarje pri Jelšah,"107,7",9946,93,77,-,Štajerska,Savinjska,-
Šmarješke Toplice,34,3164,93,24,2006,Dolenjska,Osrednjeslovenska,Novo mesto
Šmartno pri Litiji,"94,9",5419,57,54,2002,Dolenjska,Osrednjeslovenska,Litija
Šmartno ob Paki,"18,2",3116,171,10,1994,Štajerska,Savinjska,Velenje
Šoštanj,"95,6",8420,88,11,1994,Štajerska,Savinjska,Velenje
Štore,"28,1",4060,144,12,1994,Štajerska,Savinjska,Celje
Tabor,"34,8",1510,43,7,1998,Štajerska,Savinjska,Žalec
Tišina,"38,8",4143,107,12,1994,Prekmurje,Pomurska,Murska Sobota
Tolmin,"381,5",11730,31,72,-,Primorska,Goriška,-
Trbovlje,"57,8",17545,304,16,-,Štajerska,Zasavska,-
Trebnje,"194,6",14371,76,131*,-,Dolenjska,Jugovzhodna,-
Trnovska vas,"22,9",1312,57,7,1998,Štajerska,Savinjska,"Ptuj ('94), Destrnik - Trnovska vas ('98)"
Trzin,"8,6",3682,428,1,1998,Gorenjska,Gorenjska,Domžale
Tržič,"155,4",15329,99,35,-,Gorenjska,Gorenjska,-
Turnišče,"23,8",3380,142,4,1994*,Prekmurje,Pomurska,Lendava*
Velenje,"83,5",33226,398,26,-,Štajerska,Savinjska,-
Velika Polana,"18,7",1483,79,3,1998,Prekmurje,Pomurska,"Lendava ('94), Črenšovci ('98)"
Velike Lašče,"103,2",4110,40,88,1994,Dolenjska,Osrednjeslovenska,LJ Vič - Rudnik
Veržej,12,1308,109,3,1998,Štajerska,Pomurska,Ljutomer
Videm,"80,2",5565,69,31,1994,Štajerska,Podravska,Ptuj
Vipava,"107,4",5282,49,20,1994,Primorska,Goriška,Ajdovščina
Vitanje,"59,4",2288,36,8,1994,Štajerska,Savinjska,Slovenske Konjice
Vodice,"31,4",4425,141,16,1994,Gorenjska,Osrednjeslovenska,LJ Šiška
Vojnik,"75,3",8287,110,55,1994,Štajerska,Savinjska,Celje
Vransko,"53,3",2546,48,16,1998,Štajerska,Savinjska,Žalec
Vrhnika,"126,3",15870,126,25,-,Notranjska,Osrednjeslovenska,-
Vuzenica,"50,1",2748,55,5,1994,Koroška,Koroška,Radlje ob Dravi
Zagorje ob Savi,"147,1",17098,116,74,-,Gorenjska,Zasavska,-
Zavrč,"19,3",1519,79,9,1994,Štajerska,Podravska,Ptuj
Zreče,67,6492,94,27,1994,Štajerska,Savinjska,Slovenske Konjice
Žalec,"117,1",21210,181,38,,Štajerska,Savinjska,-
Železniki,"164,8",6773,41,30,1994,Gorenjska,Gorenjska,Škofja Loka
Žetale,38,1326,35,5,1998,Štajerska,Podravska,"Ptuj ('94), Majšperk ('98)"
Žiri,"49,2",4904,100,18,1994,Gorenjska,Gorenjska,Škofja Loka
Žirovnica,"46,2",4071,88,10,1998,Gorenjska,Gorenjska,Jesenice
Žužemberk,"164,3",4579,28,18,1998,Dolenjska,Jugovzhodna,Novo mesto
